    6   15
    1
  728
 1.00 5.00  50.   0.
 1.00 5.00  30.   0.
 1.00 1.00  30.   0.
 1.00 3.00  30.   0.
 1.00 2.00  50.   0.
 1.00 1.00  60.   0.
  119   85    0  102   84   89
   76    0   77  101  111    0
  116   95  124   92   87    0
  102    0  106    0   94   83
  109  101   79  118   91   86
  100  120  123  108   90  118
   93   99  107   95  111  108
   98  120   85   78  106   83
   93  114   98  108  117   79
  118   94  105   84  105   80
   83   78  119  111   91   99
  122   91   98  121   97   92
   77   86  125  122  107   98
  123  104  114  102   83   78
  125   97  109   80  103   95
  Bi   hi   su   su
           time cost
